Date,Tue Dec 01 00:00:00 CET 2020,Wed Dec 02 00:00:00 CET 2020,Thu Dec 03 00:00:00 CET 2020,Fri Dec 04 00:00:00 CET 2020,Sat Dec 05 00:00:00 CET 2020,Sun Dec 06 00:00:00 CET 2020,Mon Dec 07 00:00:00 CET 2020,Tue Dec 08 00:00:00 CET 2020,Wed Dec 09 00:00:00 CET 2020,Thu Dec 10 00:00:00 CET 2020,Fri Dec 11 00:00:00 CET 2020,Sat Dec 12 00:00:00 CET 2020,Sun Dec 13 00:00:00 CET 2020,Mon Dec 14 00:00:00 CET 2020
Confirmed,46516,46718,46837,46837,47072,47306,47516,47716,47851,48053,48116,48229,48527,48718
Recoveries,36946,37218,37260,37260,37393,37685,37879,37920,38032,38099,38141,38200,38250,38252
Deaths,1822,1841,1846,1846,1864,1874,1900,1906,1919,1935,1945,1956,1965,1969
